,,Dec-01,Dec-01,Dec-02,Dec-02,Dec-03,Dec-03,Dec-04,Dec-04,Dec-05,Dec-05,Dec-06,Dec-06,Dec-07,Dec-07,Dec-08,Dec-08,Dec-09,Dec-09,Dec-10,Dec-10,Dec-11,Dec-11,Dec-12,Dec-12,Dec-13,Dec-13,Dec-14,Dec-14,Dec-15,Dec-15,Dec-16,Dec-16,Dec-17,Dec-17,Dec-18,Dec-18,Dec-19,Dec-19,Dec-20,Dec-20,Dec-21,Dec-21,Dec-22,Dec-22,Dec-23,Dec-23,Dec-24,Dec-24,Dec-25,Dec-25,Dec-26,Dec-26,Dec-27,Dec-27,Dec-28,Dec-28,Dec-29,Dec-29,Dec-30,Dec-30,Dec-31,Dec-31
Product ID,Brand,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units,GMV,Units
ITEM5047,Lemon,0,0,852,3,284,1,0,0,568,2,284,1,852,3,0,0,0,0,568,2,0,0,284,1,0,0,0,0,573,2,177,1,466,2,0,0,857,3,568,2,466,2,867,3,2797,12,1110,5,1464,7,1380,5,1647,6,1333,5,3637,18,1221,5,2797,12
ITEM3062,Mango,12552,22,13693,24,19969,35,14264,25,10840,19,7988,14,7988,14,15405,27,11411,20,19969,35,11981,21,17687,31,19774,35,19531,35,9487,17,15754,28,33482,60,18415,33,25670,46,27923,50,15089,27,16183,29,36273,65,54130,97,40737,73,41853,75,46317,83,62574,117,41181,77,59365,111,36273,65
ITEM8095,Mango,1161,9,129,1,1161,9,1032,8,516,4,645,5,645,5,1419,11,903,7,1032,8,645,5,387,3,1419,11,645,5,645,5,645,5,1290,10,258,2,516,4,1806,14,645,5,1419,11,2493,19,2064,16,1161,9,1161,9,1719,13,595,5,833,7,357,3,2493,19
ITEM8265,Apple,4116,2,14392,8,34181,19,16191,9,25815,15,42905,25,18799,11,22217,13,15381,9,27344,16,20508,12,25635,15,27344,16,34180,20,23926,14,18799,11,30762,18,20528,12,13692,8,18809,11,13592,8,5507,3,8405,5,17000,10,6706,4,12423,7,-1099,-1,39677,23,15291,9,15301,9,8405,5
ITEM8226,Guava,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1316,4,658,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM3567,Orange,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,1,0,0,0,0,0,0,289,1,249,1,289,1,0,0,0,0,289,1,0,0,514,2,257,1,257,1,0,0,0,0,0,0,0,0,0,0
ITEM5418,Mango,16512,128,18576,144,19737,153,19350,150,16125,125,17159,133,16512,128,16383,127,22446,174,23736,184,20640,160,19737,153,22581,175,20640,160,21801,169,25596,198,27606,214,21801,169,18576,144,21154,164,21164,164,23349,181,25284,196,26961,209,25026,194,25155,195,20507,159,23226,180,23349,181,22704,176,25284,196
ITEM1785,Apple,0,0,1135,4,851,3,2838,10,3406,12,1014,4,1987,7,2554,9,568,2,1987,7,2554,9,3122,11,1524,5,3122,11,1987,7,2838,10,2554,9,1419,5,2270,8,2270,8,1987,7,4541,16,2838,10,3689,13,3689,13,1703,6,1135,4,1135,4,568,2,1135,4,2838,10
ITEM7423,Mango,597,3,1393,7,2388,12,1990,10,1592,8,1194,6,2786,14,2587,13,5572,28,5174,26,2587,13,3383,17,3582,18,3980,20,3781,19,2291,11,3781,19,2189,11,2189,11,2786,14,2388,12,3184,16,2388,12,5373,27,4082,20,1791,9,1592,8,2587,13,2189,11,2587,13,2388,12
ITEM8923,Lemon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITEM3032,Apple,16450,33,15769,32,19212,39,24138,49,21245,43,22283,45,20197,41,17734,36,20197,41,24138,49,24631,50,13793,28,17242,35,14778,30,17734,36,15271,31,24631,50,22660,46,23645,48,23153,47,27094,55,38441,78,43964,91,50245,104,31403,65,30437,63,34785,72,29631,60,27586,56,21182,43,43964,91
